analysis_id,dx1o8i52r5z93ju
mouse_strain,C57BL
gene_symbol,Kcng1
gene_accession_id,MGI:3616086
pvalue,0.2622506
parameter_id,JAX_OFD_021_001
mouse_life_stage,Early adult
parameter_name,Number of rears - total
