gene_symbol,Clvs1
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
parameter_id,MGP_MLN_066_001
analysis_id,d513i2fq2030acl
pvalue,0.8120725
