analysis_id,q8yic5nv9yb39o2
mouse_strain,C57BL
parameter_id,ESLIM_008_001_017
gene_symbol,Orc2
mouse_life_stage,E9.5
gene_accession_id,MGI:1328306
parameter_name,Limb grasping
pvalue,0.8343689
