parameter_id,IMPC_ECH_018_001
pvalue,0.31465
analysis_id,w7hos6l8fl5214r
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Respiration Rate
gene_accession_id,MGI:1919935
gene_symbol,Dnajc6
