gene_symbol,Kif24
analysis_id,ooe5y081fz168sn
pvalue,0.6979227
mouse_strain,C57BL
gene_accession_id,MGI:1918345
parameter_id,IMPC_CBC_011_001
mouse_life_stage,Early adult
parameter_name,Iron
