parameter_name,Placenta Morphology
mouse_life_stage,Middle aged adult
analysis_id,42lc896p8p70082
gene_accession_id,MGI:2446186
parameter_id,IMPC_GPO_002_001
mouse_strain,C57BL
pvalue,0.4981708
gene_symbol,Lpgat1
