analysis_id,wmm2i1c2l2pc7k4
pvalue,0.5954051
parameter_name,Glucose
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,HMGULA_CBC_018_001
gene_symbol,Ahcy
gene_accession_id,MGI:87968
