gene_symbol,Mecom
parameter_id,MGP_IMM_110_001
parameter_name,Transitional 1 B cells - % of CD45+
mouse_life_stage,E12.5
analysis_id,q7bz61eul3g0y7e
pvalue,0.463063
mouse_strain,C57BL
gene_accession_id,MGI:95457
