analysis_id,q8i5dxwxa2fc1ja
parameter_id,MGP_PBI_003_001
mouse_strain,C57BL
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
gene_symbol,Tubb4b
parameter_name,CD4+ alpha beta T cell percentage
pvalue,0.6217839
