parameter_name,Glucose response AUC
pvalue,0.2860125
gene_symbol,Maco1
parameter_id,ESLIM_004_001_701
mouse_strain,C57BL
gene_accession_id,MGI:1913396
mouse_life_stage,Early adult
analysis_id,1a15wq165jm4403
