parameter_name,Total food intake
mouse_strain,C57BL
parameter_id,IMPC_CAL_008_001
analysis_id,603r8m4gbvtt101
mouse_life_stage,Early adult
pvalue,0.3320111
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
