gene_symbol,Sgip1
mouse_life_stage,Early adult
parameter_id,M-G-P_006_001_026
analysis_id,20pv49528w08251
mouse_strain,C57BL
pvalue,0.5597284
parameter_name,Fusion of vertebrae
gene_accession_id,MGI:1920344
