parameter_name,Placenta Size
parameter_id,IMPC_GPP_004_001
pvalue,0.1947396
analysis_id,1bf2e1i524vacb1
gene_symbol,Dmap1
mouse_strain,C57BL
gene_accession_id,MGI:1913483
mouse_life_stage,E9.5
