analysis_id,6h0y4mln5n2dy10
mouse_life_stage,Early adult
parameter_name,DN CD25- NKT cells
gene_accession_id,MGI:96757
gene_symbol,Lcn2
mouse_strain,C57BL
pvalue,0.5775867
parameter_id,IMPC_IMM_025_001
