gene_symbol,Mov10
mouse_strain,C57BL
parameter_id,IMPC_XRY_064_001
analysis_id,020uoqknv99l9wn
mouse_life_stage,Early adult
parameter_name,Thoracic processes
gene_accession_id,MGI:97054
pvalue,0.3620473
