gene_symbol,Dmap1
analysis_id,44b8v3j62e160ld
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,IMPC_CBC_018_001
gene_accession_id,MGI:1913483
pvalue,1.068089
parameter_name,Glucose
