analysis_id,y356y7d12d0swoa
mouse_life_stage,Early adult
parameter_id,MGP_MLN_021_001
gene_symbol,Cdin1
pvalue,0.4354199
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_accession_id,MGI:3026886
mouse_strain,C57BL
