analysis_id,hp7bohsk366a422
gene_accession_id,MGI:1914061
parameter_name,NKT cells (panel A)
parameter_id,IMPC_IMM_004_001
mouse_life_stage,Early adult
pvalue,0.9447133
gene_symbol,Duoxa2
mouse_strain,C57BL
