parameter_id,MGP_IMM_078_001
parameter_name,Resting Treg cells - % of CD45+
gene_symbol,Rnf114
pvalue,0.6434106
gene_accession_id,MGI:1933159
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,47mdwatj11r05va
