analysis_id,z1m481j099tc469
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
parameter_id,MGP_MLN_014_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9752503
parameter_name,Resting CD8+ T cells - % of CD8+
