parameter_name,Total cholesterol
mouse_life_stage,Early adult
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
analysis_id,m701n10593l7aex
pvalue,0.7212609
mouse_strain,C57BL
parameter_id,HMGULA_CBC_015_001
