gene_symbol,Mms22l
pvalue,0.1631685
mouse_strain,C57BL
gene_accession_id,MGI:2684980
parameter_name,Lens Opacity
parameter_id,IMPC_EYE_017_001
mouse_life_stage,Early adult
analysis_id,m8a6kshdgxx80z4
