gene_symbol,Car13
parameter_id,MGP_IMM_028_001
mouse_life_stage,Early adult
analysis_id,0197854m04v8x3d
mouse_strain,C57BL
gene_accession_id,MGI:1931322
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
pvalue,0.09576579
