analysis_id,1452ch557o1y020
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
pvalue,0.06492266
mouse_strain,C57BL
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
parameter_id,IMPC_IMM_005_002
mouse_life_stage,Early adult
