parameter_name,Retina (combined)
gene_symbol,Car13
mouse_life_stage,Early adult
analysis_id,8x96903nv877q58
mouse_strain,C57BL
pvalue,0.7705087
parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:1931322
