gene_symbol,Lime1
mouse_life_stage,Early adult
parameter_name,Liver weight
pvalue,0.7527072
parameter_id,UCD_OWT_008_001
gene_accession_id,MGI:1919949
mouse_strain,C57BL
analysis_id,u606f1q0nvh195q
