parameter_name,Magnesium
pvalue,0.8856856
gene_symbol,Tnfsf10
analysis_id,95c02949hn457r4
parameter_id,M-G-P_025_001_030
gene_accession_id,MGI:107414
mouse_strain,C57BL
mouse_life_stage,Early adult
