gene_symbol,Sema6c
analysis_id,f1g0b4etf7lj9nr
parameter_name,Effector Treg cells - % of Treg
mouse_life_stage,Early adult
pvalue,0.9566946
parameter_id,MGP_IMM_010_001
gene_accession_id,MGI:1338032
mouse_strain,C57BL
