gene_symbol,Sdcbp2
parameter_name,Time mobile light side
pvalue,0.9274407
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
analysis_id,f3ecmc4zz241707
parameter_id,JAX_LDT_003_001
