parameter_name,Caudal processes
mouse_strain,129SV
gene_accession_id,MGI:2385884
analysis_id,573x9qe60t70l68
gene_symbol,Ddx27
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_067_001
pvalue,0.2122994
