parameter_name,HDL-cholesterol
gene_symbol,Rab17
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_016_001
analysis_id,e9953x4zm545392
pvalue,0.5823134
gene_accession_id,MGI:104640
