gene_symbol,Trpa1
parameter_name,Bone Mineral Content
gene_accession_id,MGI:3522699
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8458875
analysis_id,682599rde282075
parameter_id,ESLIM_005_001_005
