gene_symbol,Fam163a
mouse_strain,C57BL
parameter_name,Tibia length
mouse_life_stage,Early adult
gene_accession_id,MGI:3618859
pvalue,0.3081763
analysis_id,ad1t1qb01864p9h
parameter_id,TCPLA_XRY_033_001
