analysis_id,whq8wq0t7zm8001
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,IMPC_GRS_011_001
mouse_strain,C57BL
gene_symbol,Lurap1
mouse_life_stage,Early adult
pvalue,0.9177452
gene_accession_id,MGI:1915325
