parameter_name,Potassium
gene_accession_id,MGI:1921688
analysis_id,goog604643c8yu8
pvalue,0.9316497
gene_symbol,Clvs1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,GMC_906_001_005
