gene_symbol,Morn5
gene_accession_id,MGI:1922745
pvalue,0.9544176
parameter_id,M-G-P_016_001_006
parameter_name,Mean-corpuscular-haemoglobin
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,agmix2974h98ab4
