analysis_id,p74pa61fs84fv14
gene_accession_id,MGI:1915325
parameter_id,IMPC_IMM_051_001
mouse_life_stage,Early adult
gene_symbol,Lurap1
mouse_strain,C57BL
pvalue,0.447157
parameter_name,Monocytes
