parameter_name,BMC/Body weight
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
mouse_life_stage,Early adult
pvalue,0.5933611
mouse_strain,C57BL
parameter_id,IMPC_DXA_007_001
analysis_id,97lm7rx20847261
