gene_symbol,Nemp2
analysis_id,5zh48gz67sn23cl
gene_accession_id,MGI:2444113
mouse_life_stage,Early adult
parameter_name,Fractional Shortening
mouse_strain,C57BL
parameter_id,IMPC_ECH_005_001
pvalue,0.4628828
