analysis_id,4200ojqxyqln4j3
gene_symbol,Golm2
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
parameter_name,Mean-corpuscular-haemoglobin
mouse_strain,C57BL
pvalue,0.5134337
parameter_id,M-G-P_016_001_006
