parameter_name,Retinal Blood Vessels Pattern
gene_accession_id,MGI:2441730
mouse_strain,C57BL
analysis_id,lssu78506ewkmc2
gene_symbol,Tbl1xr1
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_026_001
pvalue,0.9187519
