parameter_name,Eosinophil differential count
gene_symbol,Tiprl
parameter_id,IMPC_HEM_035_001
pvalue,0.7946559
analysis_id,kc80da759fg0vj3
mouse_life_stage,E9.5
gene_accession_id,MGI:1915087
mouse_strain,C57BL
