analysis_id,8y5172ja5g2gphm
mouse_strain,C57BL
gene_symbol,Lime1
mouse_life_stage,Early adult
pvalue,0.6985833
gene_accession_id,MGI:1919949
parameter_name,KLRG1+ Treg cells - % of CD45+
parameter_id,MGP_IMM_079_001
