analysis_id,nb1458yzun0ty7m
pvalue,1.127077
mouse_life_stage,Early adult
parameter_name,Center average speed
gene_accession_id,MGI:1914256
gene_symbol,Cisd2
parameter_id,HRWLLA_OFD_017_001
mouse_strain,C57BL
