parameter_name,Zygomatic bone
mouse_strain,C56BL
mouse_life_stage,Early adult
pvalue,0.3832937
gene_accession_id,MGI:2444421
parameter_id,IMPC_XRY_002_001
analysis_id,550mz89tj536zw9
gene_symbol,Gbp7
