gene_accession_id,MGI:2673000
gene_symbol,Trim46
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_067_001
pvalue,0.4986628
parameter_name,Follicular B Cells (CD21/35+)
analysis_id,537o3180ou407z5
