parameter_name,Limb grasping
mouse_strain,C57BL
parameter_id,ESLIM_008_001_017
analysis_id,9111fu37ib9j6pw
pvalue,0.9481293
mouse_life_stage,E15.5
gene_symbol,Bmi1
gene_accession_id,MGI:88174
