analysis_id,q5m43qr9i895404
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
gene_symbol,Exd1
parameter_id,MGP_IMM_073_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.2433156
mouse_strain,C57BL
