gene_symbol,Pglyrp3
parameter_id,IMPC_ECG_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2685266
parameter_name,CV
pvalue,0.2569788
analysis_id,9vlfm31hm4zkem2
