gene_symbol,Ppm1j
parameter_name,Others
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,a4v8qgh29u79177
pvalue,0.4380909
parameter_id,IMPC_IMM_006_001
gene_accession_id,MGI:1919137
