analysis_id,7ensf54x79mq5f8
gene_accession_id,MGI:99501
mouse_strain,C57BL
parameter_name,Head morphology
pvalue,0.1303225
parameter_id,MGP_CSD_064_001
mouse_life_stage,E15.5
gene_symbol,Fgb
