analysis_id,7qyu04456delrpi
gene_symbol,Kdm4c
parameter_id,JAXLA_OFD_020_001
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
mouse_strain,C57BL
gene_accession_id,MGI:1924054
pvalue,0.3993164
