gene_symbol,Cntfr
analysis_id,1lf4t5v1bhw78v9
mouse_strain,C57BL
gene_accession_id,MGI:99605
pvalue,0.2014866
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_006_001
parameter_name,12kHz-evoked ABR Threshold
