parameter_name,Body weight
pvalue,0.4510162
mouse_strain,C57BL
gene_symbol,Nanp
parameter_id,M-G-P_009_001_003
gene_accession_id,MGI:1914561
mouse_life_stage,Early adult
analysis_id,4127jw96kk7mlx8
