analysis_id,zr3493zix415pp8
parameter_name,Periphery resting time
gene_symbol,Gfi1b
mouse_life_stage,Early adult
gene_accession_id,MGI:1276578
mouse_strain,C57BL
parameter_id,ESLIM_007_001_007
pvalue,0.7377978
