gene_symbol,Psd4
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,M-G-P_020_001_001
parameter_name,Body Weight
analysis_id,7s19q78qgt6nbn9
gene_accession_id,MGI:2674093
pvalue,0.888885
