analysis_id,4fu8r224k7f9d23
pvalue,0.9660781
mouse_strain,C57BL
parameter_id,IMPC_CSD_016_001
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
parameter_name,Coat - hair texture / appearance - abdomen
