gene_symbol,Hspa5
analysis_id,1cd0j4rqbh144tu
mouse_life_stage,E12.5
parameter_name,Forelimb grip strength measurement mean
gene_accession_id,MGI:95835
parameter_id,HMGULA_GRS_008_001
mouse_strain,C57BL
pvalue,0.5680292
