parameter_name,Percent time in light
analysis_id,22266j5ijnp03rz
pvalue,0.8904625
parameter_id,IMPC_LDT_008_001
gene_accession_id,MGI:1276578
gene_symbol,Gfi1b
mouse_strain,C57BL
mouse_life_stage,Early adult
