analysis_id,5bqu3531040nggj
parameter_id,MGP_IMM_071_001
pvalue,0.06562465
gene_accession_id,MGI:1924054
parameter_name,Total CD4+ T cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Kdm4c
