analysis_id,pvxdggz6o44iisi
parameter_name,Lens
parameter_id,IMPC_EYE_016_001
gene_symbol,Bach2
pvalue,0.9625989
gene_accession_id,MGI:894679
mouse_strain,C57BL
mouse_life_stage,Early adult
