parameter_name,Ulna
pvalue,0.8973361
analysis_id,p197qo52qa4e25e
gene_accession_id,MGI:107566
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_023_001
gene_symbol,Kifap3
