analysis_id,ev3832ppvw9egeg
parameter_id,JAX_ROT_002_001
gene_symbol,Hpca
gene_accession_id,MGI:1336200
pvalue,0.5936043
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_name,Average duration
