gene_symbol,Atg4c
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8119109
parameter_name,Total cholesterol
gene_accession_id,MGI:2651854
analysis_id,3266tct05scsajx
parameter_id,IMPC_CBC_015_001
